db,table,column,type,length,precision,scale,nullable,padded
dbo,AVAttribute,ImageURI,nvarchar,-1,0,0,1,1
dbo,AVAttribute,NoHeads,smallint,2,5,0,0,0
dbo,AVAttribute,RfSourceID,tinyint,1,3,0,0,0
dbo,AVAttribute,DataDeviceID,int,4,10,0,0,0
dbo,AVAttribute,DeviceArgs,nvarchar,508,0,0,1,1
dbo,AVAttribute,DeviceOutput,nvarchar,100,0,0,1,1
dbo,AVDataEntryOptions,AcquisitionVariantID,smallint,2,5,0,0,0
dbo,AVDataEntryOptions,RfVarGridStyleID,smallint,2,5,0,0,0
dbo,AVDataEntryOptions,IsPITCols,tinyint,1,3,0,0,0
dbo,AVDataEntryOptions,IsPISNoCol,tinyint,1,3,0,0,0
dbo,AVDataEntryOptions,RfAttrGridStyleID,smallint,2,5,0,0,0
dbo,AVDataEntryOptions,IsStepGrid,tinyint,1,3,0,0,0
dbo,AVDataEntryOptions,IsAttrSkipStep,tinyint,1,3,0,0,0
dbo,AVDataEntryOptions,ShowAttrInfoTip,tinyint,1,3,0,0,0
dbo,AVDataEntryOptions,UseAttrImagePicker,tinyint,1,3,0,0,0
dbo,AVDataEntryOptions,AttrGridContextMenu,tinyint,1,3,0,0,0
dbo,AVDataEntryOptions,IsPISerial,tinyint,1,3,0,0,0
dbo,AVDataEntryOptions,AutoGenerateSerialNo,tinyint,1,3,0,0,0
dbo,AVDataEntryOptions,PITSampling,smallint,2,5,0,0,0
dbo,AVDataEntryOptions,MSTSampling,smallint,2,5,0,0,0
dbo,AVDataEntryOptions,VAInterlace,smallint,2,5,0,0,0
dbo,AVDataEntryOptions,IsExplicitHS,smallint,2,5,0,0,0
dbo,AVDataEntryOptions,SampleSizeMode,smallint,2,5,0,0,0
dbo,AVDataEntryOptions,OnDataCommitGoTo,varchar,50,0,0,0,1
dbo,AVDataEntryOptions,IsDisableOOSWarnings,tinyint,1,3,0,0,0
dbo,AVDataEntryOptions,StepEditPolicy,smallint,2,5,0,0,0
dbo,AVDataEntryOptions,DisableKeyboardOverride,tinyint,1,3,0,0,0
dbo,AVDataEntryOptions,ChainToStopped,smallint,2,5,0,0,0
dbo,AVDataEntryOptions,DisplayPlan,varchar,3000,0,0,1,1
dbo,AVDataEntryOptions,AttrPassFailDefault,tinyint,1,3,0,0,0
dbo,AVDataEntryOptions,VariableSaveMode,tinyint,1,3,0,0,0
dbo,AVDataEntryOptions,AttrCellClick,tinyint,1,3,0,0,0
dbo,BOMExplosion,PartID,int,4,10,0,0,0
dbo,BOMExplosion,ParentPartID,int,4,10,0,0,0
dbo,BOMExplosion,SubPartID,int,4,10,0,1,0
dbo,BOMExplosion,BOMItemID,int,4,10,0,0,0
dbo,BOMExplosion,SubPartQuantityTotal,float,8,53,0,1,0
dbo,BOMExplosion,SubPartUnitID,int,4,10,0,1,0
dbo,BOMExplosion,RfInvPackTraceabilityID,smallint,2,5,0,0,0
dbo,BOMExplosion,Lvl,int,4,10,0,0,0
dbo,BOMExplosion,SortOrder,varchar,254,0,0,0,1
dbo,BOMExplosion,SubPartQuantity,float,8,53,0,1,0
dbo,BOMExplosion,BOMVariantID,int,4,10,0,0,0
dbo,BOMExplosion,Instructions,nvarchar,-1,0,0,1,1
dbo,BOMExplosion,RfBOMItemTypeID,tinyint,1,3,0,0,0
dbo,BOMExplosion,IsAllowExceedBOMQty,tinyint,1,3,0,0,0
dbo,BOMItem,BOMItemID,int,4,10,0,0,0
dbo,BOMItem,BOMVariantID,int,4,10,0,0,0
dbo,BOMItem,PartID,int,4,10,0,0,0
dbo,BOMItem,SubPartID,int,4,10,0,1,0
dbo,BOMItem,SubPartQuantity,float,8,53,0,1,0
dbo,BOMItem,SubPartUnitID,smallint,2,5,0,1,0
dbo,BOMItem,RfInvPackTraceabilityID,smallint,2,5,0,0,0
dbo,BOMItem,Sequence,varchar,10,0,0,1,1
dbo,BOMItem,Instructions,nvarchar,-1,0,0,1,1
dbo,BOMItem,RfBOMItemTypeID,tinyint,1,3,0,0,0
dbo,BOMItem,IsDefault,tinyint,1,3,0,0,0
dbo,BOMItem,IsAllowExceedBOMQty,tinyint,1,3,0,0,0
dbo,BOMItem,Reference1,nvarchar,508,0,0,1,1
dbo,BOMItem,Reference2,nvarchar,508,0,0,1,1
dbo,BOMItem,Reference3,nvarchar,508,0,0,1,1
dbo,BOMItem,Reference4,nvarchar,508,0,0,1,1
dbo,BOMItem,Reference5,nvarchar,508,0,0,1,1
dbo,BOMVariant,BOMVariantID,int,4,10,0,0,0
dbo,BOMVariant,BOMVariant,nvarchar,508,0,0,0,1
dbo,BOMVariant,PartID,int,4,10,0,0,0
dbo,BOMVariant,IsDefault,tinyint,1,3,0,0,0
dbo,BOMVariant,BOMVariantIndex,int,4,10,0,0,0
dbo,BOMVariant,IsRetired,tinyint,1,3,0,0,0
dbo,BOMVariant,LoginID,smallint,2,5,0,0,0
dbo,BOMVariant,DT,datetime,8,23,3,0,0
dbo,BuildRecord,BuildRecordID,int,4,10,0,0,0
dbo,BuildRecord,InvPackCreatedID,int,4,10,0,0,0
dbo,BuildRecord,InvPackConsumedID,int,4,10,0,1,0
dbo,BuildRecord,QuantityUsed,float,8,53,0,1,0
dbo,BuildRecord,UnitID,smallint,2,5,0,1,0
dbo,BuildRecord,BuildDT,datetime,8,23,3,0,0
dbo,BuildRecord,IsEdited,tinyint,1,3,0,0,0
dbo,BuildRecord,RevisionNo,smallint,2,5,0,0,0
dbo,BuildRecord,BuildMachineStageID,smallint,2,5,0,1,0
dbo,BuildRecord_,BuildRecordID,int,4,10,0,0,0
dbo,BuildRecord_,Comments,nvarchar,508,0,0,1,1
dbo,BuildRecord_,LoginID,smallint,2,5,0,0,0
dbo,BuildRecord_,OpenedDT,datetime,8,23,3,0,0
dbo,BuildRecord_,SavedDT,datetime,8,23,3,0,0
dbo,BuildRecord_,EditedBuildRecordID,int,4,10,0,1,0
dbo,BuildRecord_,OriginalLoginID,smallint,2,5,0,0,0
dbo,BuildRecord_,Reference1,nvarchar,508,0,0,1,1
dbo,BuildRecord_,Reference2,nvarchar,508,0,0,1,1
dbo,BuildRecord_,Reference3,nvarchar,508,0,0,1,1
dbo,BuildRecord_,Reference4,nvarchar,508,0,0,1,1
dbo,BuildRecord_,Reference5,nvarchar,508,0,0,1,1
dbo,CauseAction,CauseActionID,int,4,10,0,0,0
dbo,CauseAction,MeasurementSetID,int,4,10,0,1,0
dbo,CauseAction,IsAttributes,tinyint,1,3,0,0,0
dbo,CauseAction,IndividualDefectID,int,4,10,0,1,0
dbo,CauseAction,AttributeTypeID,smallint,2,5,0,1,0
dbo,CauseAction,Cause,nvarchar,508,0,0,1,1
dbo,CauseAction,Action,nvarchar,508,0,0,1,1
dbo,CauseAction,DT,datetime,8,23,3,1,0
dbo,CauseAction,VarChartOCID,int,4,10,0,1,0
dbo,CauseAction,RfIsOSID,tinyint,1,3,0,1,0
dbo,CauseAction,VarMeasurementID,int,4,10,0,1,0
dbo,CauseAction,VariableTypeID,int,4,10,0,1,0
dbo,CauseAction,IsEdited,tinyint,1,3,0,0,0
dbo,CauseAction,RevisionNo,smallint,2,5,0,0,0
dbo,CauseAction,ProductID,int,4,10,0,1,0
dbo,CauseAction,AcquisitionID,smallint,2,5,0,1,0
dbo,CauseAction,MachineStageID,smallint,2,5,0,1,0
dbo,CauseAction,RfAttributeClassID,tinyint,1,3,0,1,0
dbo,CauseAction,HeadNo,smallint,2,5,0,1,0
dbo,CauseAction,SampleNo,smallint,2,5,0,1,0
dbo,CauseAction,PositionNo,smallint,2,5,0,1,0
dbo,CauseAction,RfAcquisitionClassID,tinyint,1,3,0,1,0
dbo,CauseAction,SPCChartComponentID,int,4,10,0,1,0
dbo,CauseAction,SPCRuleID,smallint,2,5,0,1,0
dbo,CauseAction,RfCauseActionStateID,tinyint,1,3,0,0,0
dbo,CauseAction,TAGMSVALUE1,nvarchar,508,0,0,1,1
dbo,CauseAction,TAGMSTYPE1ID,smallint,2,5,0,1,0
dbo,CauseAction,CreateDT,datetime,8,23,3,1,0
dbo,CauseAction,AcknowledgeDT,datetime,8,23,3,0,0
dbo,CauseAction,CloseDT,datetime,8,23,3,0,0
dbo,CauseAction_,CauseActionID,int,4,10,0,0,0
dbo,CauseAction_,Comments,nvarchar,4000,0,0,1,1
dbo,CauseAction_,LoginID,smallint,2,5,0,0,0
dbo,CauseAction_,OpenedDT,datetime,8,23,3,0,0
dbo,CauseAction_,SavedDT,datetime,8,23,3,0,0
dbo,CauseAction_,OriginalLoginID,smallint,2,5,0,0,0
dbo,CauseAction_,EditedCauseActionID,int,4,10,0,1,0
dbo,Comments,CommentsID,int,4,10,0,0,0
dbo,Comments,LoginID,smallint,2,5,0,0,0
dbo,Comments,DT,datetime,8,23,3,0,0
dbo,Comments,Subject,nvarchar,100,0,0,0,1
dbo,Comments,Comments,nvarchar,4000,0,0,0,1
dbo,CommonFault,CommonFaultID,smallint,2,5,0,0,0
dbo,CommonFault,CommonFault,nvarchar,508,0,0,0,1
dbo,CommonFault,Description,nvarchar,508,0,0,1,1
dbo,CommonFault,LineTypeID,smallint,2,5,0,1,0
dbo,CommonFault,MachineStageTypeID,smallint,2,5,0,1,0
dbo,CommonFault,ToolTypeID,smallint,2,5,0,1,0
dbo,CommonFault,GaugeTypeID,smallint,2,5,0,1,0
dbo,CommonFault,PartTypeID,smallint,2,5,0,1,0
dbo,CommonFault,RfAssetTypeID,tinyint,1,3,0,1,0
dbo,Concern,ConcernID,int,4,10,0,0,0
dbo,Concern,ConcernStatusID,tinyint,1,3,0,1,0
dbo,Concern,ConcernTypeID,smallint,2,5,0,1,0
dbo,Concern,RaisedDT,datetime,8,23,3,1,0
dbo,Concern,ClosedDT,datetime,8,23,3,0,0
dbo,Concern,SeverityID,tinyint,1,3,0,0,0
dbo,Concern,DueDate,datetime,8,23,3,0,0
dbo,Concern,ConcernOwnerID,smallint,2,5,0,0,0
dbo,Concern,DepartmentOwnerID,smallint,2,5,0,0,0
dbo,Concern,CustomerID,smallint,2,5,0,0,0
dbo,Concern,CustomerContact,nvarchar,508,0,0,1,1
dbo,Concern,CustomerReference,nvarchar,508,0,0,1,1
dbo,Concern,AffectOnCustomer,nvarchar,508,0,0,1,1
dbo,Concern,PartTypeID,smallint,2,5,0,1,0
dbo,Concern,PartID,int,4,10,0,1,0
dbo,Concern,WOID,int,4,10,0,1,0
dbo,Concern,LineID,smallint,2,5,0,1,0
dbo,Concern,ProductionFromDT,datetime,8,23,3,1,0
dbo,Concern,ShiftID,int,4,10,0,1,0
dbo,Concern,QuantityAffected,bigint,8,19,0,1,0
dbo,Concern,QuantityUsed,bigint,8,19,0,1,0
dbo,Concern,InvIsolatedReasonID,int,4,10,0,1,0
dbo,Concern,Cost,float,8,53,0,1,0
dbo,Concern,LoginID,smallint,2,5,0,0,0
dbo,Concern,ModifiedDT,datetime,8,23,3,1,0
dbo,Concern,Concern,nvarchar,4000,0,0,0,1
dbo,Concern,SubmitterLoginID,smallint,2,5,0,0,0
dbo,Concern,CustomerProduct,nvarchar,508,0,0,1,1
dbo,Concern,RfCurrencyID,tinyint,1,3,0,0,0
dbo,Concern,MachineStageID,smallint,2,5,0,1,0
dbo,Concern,Reference1,nvarchar,508,0,0,1,1
dbo,Concern,Reference2,nvarchar,508,0,0,1,1
dbo,Concern,Reference3,nvarchar,508,0,0,1,1
dbo,Concern,RfConcernApplicationTypeID,tinyint,1,3,0,0,0
dbo,Concern,HeadNo,smallint,2,5,0,1,0
dbo,Concern,ProductionToDT,datetime,8,23,3,1,0
dbo,Concern,QuantityFound,bigint,8,19,0,1,0
dbo,Concern,QuantityReturned,bigint,8,19,0,1,0
dbo,Concern,QuantityScrapped,bigint,8,19,0,1,0
dbo,Concern,QuantitySorted,bigint,8,19,0,1,0
dbo,Concern,SupplierID,smallint,2,5,0,1,0
dbo,Concern,ToolID,int,4,10,0,1,0
dbo,Concern,VariableTypeID,int,4,10,0,1,0
dbo,Concern,AttributeTypeID,smallint,2,5,0,1,0
dbo,Concern,ClosedByLoginID,smallint,2,5,0,1,0
dbo,ConcernStatus,ConcernStatusID,tinyint,1,3,0,0,0
dbo,ConcernStatus,ConcernStatus,nvarchar,508,0,0,0,1
dbo,ConcernStatus,ConditionalFormat,nvarchar,508,0,0,1,1
dbo,ConcernStatus,IsClosedState,tinyint,1,3,0,0,0
dbo,ConcernType,ConcernTypeID,smallint,2,5,0,0,0
dbo,ConcernType,ConcernType,nvarchar,508,0,0,0,1
dbo,ConcernType,Description,nvarchar,508,0,0,1,1
dbo,ConcernType,ConcernTypeCode,nvarchar,508,0,0,1,1
dbo,ConcernType,Format,nvarchar,508,0,0,1,1
dbo,CostCentre,CostCentreID,smallint,2,5,0,0,0
dbo,CostCentre,CostCentre,nvarchar,100,0,0,0,1
dbo,CostCentre,Description,nvarchar,500,0,0,1,1
dbo,CRN_AcquisitionVariableType,AcquisitionVariableTypeID,int,4,10,0,0,0
dbo,CRN_AcquisitionVariableType,JobCommentLength,int,4,10,0,1,0
dbo,CRN_AcquisitionVariableType,RfTorqueDirectionID,smallint,2,5,0,0,0
dbo,CRN_AcquisitionVariableType,RfCycleEndTimeID,tinyint,1,3,0,0,0
dbo,CRN_AcquisitionVariableType,ThresholdTorque,float,8,53,0,1,0
dbo,CRN_AcquisitionVariableType,RfMeasurementTypeID,smallint,2,5,0,0,0
dbo,CRN_AcquisitionVariableType,RfFrequencyResponseID,tinyint,1,3,0,0,0
dbo,CRN_AcquisitionVariableType,UnitID,smallint,2,5,0,0,0
dbo,CRN_AcquisitionVariableType,AuditAngle,smallint,2,5,0,1,0
dbo,CRN_AcquisitionVariableType,CrnAdapterID,smallint,2,5,0,1,0
dbo,CrnAdapter,CrnAdapterID,smallint,2,5,0,0,0
dbo,CrnAdapter,Length,tinyint,1,3,0,0,0
dbo,CrnAdapter,ModifiedDT,datetime,8,23,3,0,0
dbo,Customer,CustomerID,smallint,2,5,0,0,0
dbo,Customer,Customer,nvarchar,508,0,0,0,1
dbo,Customer,CustomerCode,nvarchar,508,0,0,1,1
dbo,Customer,AddressID,smallint,2,5,0,0,0
dbo,Customer,RfLanguageID,smallint,2,5,0,0,0
dbo,DefectCount,DefectCountID,int,4,10,0,0,0
dbo,DefectCount,MeasurementSetID,int,4,10,0,0,0
dbo,DefectCount,HeadNo,smallint,2,5,0,0,0
dbo,DefectCount,DefectCount,int,4,10,0,0,0
dbo,DefectCount,Ignored,tinyint,1,3,0,0,0
dbo,DefectCount,AttributeTypeID,smallint,2,5,0,1,0
dbo,DefectCount,ProductID,int,4,10,0,0,0
dbo,DefectCountP,DefectCountPID,int,4,10,0,0,0
dbo,DefectCountP,MeasurementSetPID,int,4,10,0,0,0
dbo,DefectCountP,HeadNo,smallint,2,5,0,0,0
dbo,DefectCountP,DefectCount,int,4,10,0,0,0
dbo,DefectCountP,Ignored,tinyint,1,3,0,0,0
dbo,DefectCountP,AttributeTypeID,smallint,2,5,0,1,0
dbo,DefectCountP,ProductID,int,4,10,0,0,0
dbo,Department,DepartmentID,smallint,2,5,0,0,0
dbo,Department,Name,nvarchar,508,0,0,0,1
dbo,Department,DepartmentGroup,nvarchar,508,0,0,1,1
dbo,Department,Classification1,nvarchar,100,0,0,1,1
dbo,Department,PlantID,smallint,2,5,0,0,0
dbo,Department,DepartmentCode,nvarchar,100,0,0,1,1
dbo,Department,Description,nvarchar,508,0,0,1,1
dbo,Document,DocumentID,int,4,10,0,0,0
dbo,Document,FileName,nvarchar,2048,0,0,0,1
dbo,Document,Description,nvarchar,2048,0,0,1,1
dbo,Document,MimeType,nvarchar,100,0,0,0,1
dbo,Document,Attachment,varbinary,-1,0,0,1,1
dbo,Document,UploadDT,datetime,8,23,3,0,0
dbo,Document,LoginID,int,4,10,0,0,0
dbo,Document,DocumentTypeID,smallint,2,5,0,0,0
dbo,DocumentType,DocumentTypeID,smallint,2,5,0,0,0
dbo,DocumentType,DocumentType,nvarchar,508,0,0,0,1
dbo,EBATrigger,EBATriggerID,int,4,10,0,0,0
dbo,EBATrigger,RfTriggerTypeID,smallint,2,5,0,0,0
dbo,EBATrigger,ContextDictionary,nvarchar,2048,0,0,1,1
dbo,EBATrigger,TriggerOwnerID,int,4,10,0,0,0
dbo,EBATrigger,CreateDT,datetime,8,23,3,0,0
dbo,EBATrigger,ProcessedDT,datetime,8,23,3,0,0
dbo,EBATrigger,RfWatchProcessStateID,smallint,2,5,0,0,0
dbo,EBATrigger,Message,nvarchar,7000,0,0,1,1
dbo,EBATrigger,TotalTime,float,8,53,0,1,0
dbo,EBATrigger,OracleInsertTime,float,8,53,0,1,0
dbo,EBATrigger,OracleConnectionTime,float,8,53,0,1,0
dbo,EBATrigger,OracleInsertStatement,nvarchar,-1,0,0,1,1
dbo,ELData_Acq,MeasurementSetID,int,4,10,0,0,0
dbo,ELData_Acq,SerialNo,nvarchar,508,0,0,0,1
dbo,ELData_Acq,BINNo,nvarchar,508,0,0,0,1
dbo,ELData_Acq,Komax1,nvarchar,508,0,0,1,1
dbo,ELData_Acq,CktFormBuildMachine,nvarchar,508,0,0,1,1
dbo,ELData_Acq,ElBuildMachine,nvarchar,508,0,0,1,1
dbo,ELData_Acq,Comments,nvarchar,4000,0,0,1,1
dbo,ELData_Acq,DT,datetime2,7,23,3,0,0
dbo,ELData_Acq,NumCells,int,4,10,0,1,0
dbo,ELData_Acq,CellHole,int,4,10,0,1,0
dbo,ELData_Acq,LiftedTab,int,4,10,0,1,0
dbo,ELData_Acq,MultipleCrack,int,4,10,0,1,0
dbo,ELData_Acq,DiagonalCrack,int,4,10,0,1,0
dbo,ELData_Acq,ReversePolarity,int,4,10,0,1,0
dbo,ELData_Acq,ShatteredCell,int,4,10,0,1,0
dbo,ELData_Acq,ShortedPasteBusbar,int,4,10,0,1,0
dbo,ELData_Acq,ShortedPasteMiddle,int,4,10,0,1,0
dbo,ELData_Acq,ShortedPasteUnknown,int,4,10,0,1,0
dbo,ELData_Acq,VerticalCrack,int,4,10,0,1,0
dbo,ELData_Acq,VisibleCrackFab,int,4,10,0,1,0
dbo,ELData_Acq,VisibleCrackMod,int,4,10,0,1,0
dbo,ELData_Acq,Weird,int,4,10,0,1,0
dbo,ELData_Acq,CellReplacementFab,int,4,10,0,1,0
dbo,ELData_Acq,CellReplacementMod,int,4,10,0,1,0
dbo,ELData_Acq,TouchUpthenGood,int,4,10,0,1,0
dbo,ELData_Acq,WipethenGood,int,4,10,0,1,0
dbo,ELData_Acq,Rework,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,MeasurementSetID,int,4,10,0,0,0
dbo,ELData_Acq_Buffer,SerialNo,nvarchar,508,0,0,0,1
dbo,ELData_Acq_Buffer,BINNo,nvarchar,508,0,0,0,1
dbo,ELData_Acq_Buffer,Komax1,nvarchar,508,0,0,1,1
dbo,ELData_Acq_Buffer,CktFormBuildMachine,nvarchar,508,0,0,1,1
dbo,ELData_Acq_Buffer,ElBuildMachine,nvarchar,508,0,0,1,1
dbo,ELData_Acq_Buffer,Comments,nvarchar,4000,0,0,1,1
dbo,ELData_Acq_Buffer,DT,datetime2,7,23,3,0,0
dbo,ELData_Acq_Buffer,NumCells,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,CellHole,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,LiftedTab,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,MultipleCrack,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,DiagonalCrack,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,ReversePolarity,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,ShatteredCell,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,ShortedPasteBusbar,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,ShortedPasteMiddle,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,ShortedPasteUnknown,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,VerticalCrack,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,VisibleCrackFab,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,VisibleCrackMod,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,Weird,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,CellReplacementFab,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,CellReplacementMod,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,TouchUpthenGood,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,WipethenGood,int,4,10,0,1,0
dbo,ELData_Acq_Buffer,Rework,int,4,10,0,1,0
dbo,ELData_CellInfo,ConsumesCells,nvarchar,508,0,0,0,1
dbo,ELData_CellInfo,ModuleID,nvarchar,508,0,0,0,1
dbo,ELData_CellInfo,BINNo,nvarchar,508,0,0,0,1
dbo,ELData_CellInfo,Variant1,nvarchar,200,0,0,1,1
dbo,ELData_CellInfo,CktFormBuildDT,datetime2,7,23,3,0,0
dbo,ELData_CellInfo_Buffer,ConsumesCells,nvarchar,508,0,0,0,1
dbo,ELData_CellInfo_Buffer,ModuleID,nvarchar,508,0,0,0,1
dbo,ELData_CellInfo_Buffer,BINNo,nvarchar,508,0,0,0,1
dbo,ELData_CellInfo_Buffer,Variant1,nvarchar,200,0,0,1,1
dbo,ELData_CellInfo_Buffer,CktFormBuildDT,datetime2,7,23,3,0,0
dbo,Fault,FaultID,int,4,10,0,0,0
dbo,Fault,Fault,nvarchar,508,0,0,0,1
dbo,Fault,FaultComments,nvarchar,508,0,0,1,1
dbo,Fault,AssetID,int,4,10,0,0,0
dbo,Fault,MaintenanceWorkID,int,4,10,0,0,0
dbo,Fault,ReportedByLoginID,smallint,2,5,0,0,0
dbo,Fault,FaultReportedDT,datetime,8,23,3,0,0
dbo,Fault,CommonFaultID,smallint,2,5,0,0,0
dbo,Fault,FaultStateID,int,4,10,0,1,0
dbo,Fault,TimeToRespond,float,8,53,0,1,0
dbo,Fault,TimeToRepair,float,8,53,0,1,0
dbo,Fault,TimeResponseToRepair,float,8,53,0,1,0
dbo,Fault,RevisionNo,smallint,2,5,0,0,0
dbo,Fault,IsEdited,tinyint,1,3,0,0,0
dbo,Fault,LoginID,smallint,2,5,0,0,0
dbo,Fault,ModifiedDT,datetime,8,23,3,0,0
dbo,Fault,Cause,nvarchar,1000,0,0,1,1
dbo,Fault,MachineStopID,int,4,10,0,1,0
dbo,Fault,Symptoms,nvarchar,1000,0,0,1,1
dbo,FaultState,FaultStateID,int,4,10,0,0,0
dbo,FaultState,FaultID,int,4,10,0,0,0
dbo,FaultState,FromDT,datetime,8,23,3,0,0
dbo,FaultState,ToDT,datetime,8,23,3,0,0
dbo,FaultState,FaultStatusID,smallint,2,5,0,0,0
dbo,FaultState,Comments,nvarchar,508,0,0,1,1
dbo,FaultState,LoginID,smallint,2,5,0,0,0
dbo,FaultState,OpenedDT,datetime,8,23,3,0,0
dbo,FaultState,SavedDT,datetime,8,23,3,0,0
dbo,FaultState,IsEdited,tinyint,1,3,0,0,0
dbo,FaultState,RevisionNo,tinyint,1,3,0,0,0
dbo,FaultState,OriginalLoginID,smallint,2,5,0,1,0
dbo,FaultState,EditedFaultStateID,int,4,10,0,1,0
dbo,FaultStatus,FaultStatusID,smallint,2,5,0,0,0
dbo,FaultStatus,FaultStatus,nvarchar,508,0,0,0,1
dbo,FaultStatus,Description,nvarchar,508,0,0,1,1
dbo,FaultStatus,RfFaultStatusID,smallint,2,5,0,0,0
dbo,Gauge,GaugeID,int,4,10,0,0,0
dbo,Gauge,Gauge,nvarchar,508,0,0,0,1
dbo,Gauge,GaugeTypeID,smallint,2,5,0,0,0
dbo,Gauge,DataDeviceID,smallint,2,5,0,1,0
dbo,Gauge,SerialNo,nvarchar,508,0,0,1,1
dbo,Gauge,SupplierID,smallint,2,5,0,1,0
dbo,Gauge,DatePurchased,datetime,8,23,3,1,0
dbo,GaugeType,GaugeTypeID,smallint,2,5,0,0,0
dbo,GaugeType,GaugeType,nvarchar,508,0,0,0,1
dbo,IndividualDefect,IndividualDefectID,int,4,10,0,0,0
dbo,IndividualDefect,PartInstanceID,int,4,10,0,0,0
dbo,IndividualDefect,Ignored,tinyint,1,3,0,0,0
dbo,IndividualDefect,DefectCount,int,4,10,0,0,0
dbo,IndividualDefect,MeasurementSetID,int,4,10,0,0,0
dbo,IndividualDefect,AttributeTypeID,smallint,2,5,0,0,0
dbo,IndividualDefect,ProductID,int,4,10,0,0,0
dbo,InvChangeState,InvChangeStateID,int,4,10,0,0,0
dbo,InvChangeState,InventoryPackID,int,4,10,0,0,0
dbo,InvChangeState,FromDT,datetime,8,23,3,0,0
dbo,InvChangeState,ToDT,datetime,8,23,3,0,0
dbo,InvChangeState,InvIsolatedReasonID,smallint,2,5,0,1,0
dbo,InvChangeState,Comments,nvarchar,508,0,0,1,1
dbo,InvChangeState,LoginID,smallint,2,5,0,0,0
dbo,InvChangeState,OpenedDT,datetime,8,23,3,0,0
dbo,InvChangeState,SavedDT,datetime,8,23,3,0,0
dbo,InvChangeState,IsEdited,tinyint,1,3,0,0,0
dbo,InvChangeState,RevisionNo,tinyint,1,3,0,0,0
dbo,InvChangeState,OriginalLoginID,smallint,2,5,0,0,0
dbo,InvChangeState,EditedInvChangeStateID,int,4,10,0,1,0
dbo,InvChangeState,InvStateID,smallint,2,5,0,0,0
dbo,InventoryAtLocation,InventoryAtLocationID,int,4,10,0,0,0
dbo,InventoryAtLocation,LocationID,int,4,10,0,0,0
dbo,InventoryAtLocation,InventoryPackID,int,4,10,0,0,0
dbo,InventoryAtLocation,FromDT,datetime,8,23,3,0,0
dbo,InventoryAtLocation,ToDT,datetime,8,23,3,0,0
dbo,InventoryAtLocation,IsEdited,tinyint,1,3,0,0,0
dbo,InventoryAtLocation,RevisionNo,tinyint,1,3,0,0,0
dbo,InventoryAtLocation,EditedInvAtLocationID,int,4,10,0,1,0
dbo,InventoryAtLocation,MovedByLoginID,smallint,2,5,0,0,0
dbo,InventoryAtLocation,ModifiedDT,datetime,8,23,3,0,0
dbo,InventoryAtLocation,Reference1,nvarchar,508,0,0,1,1
dbo,InventoryAtLocation,Reference2,nvarchar,508,0,0,1,1
dbo,InventoryAtLocation,Reference3,nvarchar,508,0,0,1,1
dbo,InventoryLabel,InventoryLabelID,int,4,10,0,0,0
dbo,InventoryLabel,MachineStage,nvarchar,508,0,0,1,1
dbo,InventoryLabel,PartNumber,nvarchar,508,0,0,1,1
dbo,InventoryLabel,PartType,nvarchar,508,0,0,1,1
dbo,InventoryLabel,QuantityOrdered,float,8,53,0,1,0
dbo,InventoryLabel,WONumber,nvarchar,508,0,0,1,1
dbo,InventoryLabel,InventoryPackNo,nvarchar,508,0,0,1,1
dbo,InventoryLabel,CreatedFromDT,datetime,8,23,3,1,0
dbo,InventoryLabel,Quantity,float,8,53,0,1,0
dbo,InventoryLabel,Unit,nvarchar,40,0,0,1,1
dbo,InventoryLabel,Line,nvarchar,508,0,0,1,1
dbo,InventoryLabel,LabelTemplate,nvarchar,508,0,0,1,1
dbo,InventoryLabel,LabelsPerInventoryPack,smallint,2,5,0,1,0
dbo,InventoryLabel,ItemsPerLayer,float,8,53,0,1,0
dbo,InventoryLabel,LayersPerInventoryPack,int,4,10,0,1,0
dbo,InventoryLabel,PrinterURL,nvarchar,2048,0,0,0,1
dbo,InventoryLabel,PrintedDT,datetime,8,23,3,0,0
dbo,InventoryLabel,ItemsPerInventoryPack,float,8,53,0,1,0
dbo,InventoryLabel,ScannedDT,datetime,8,23,3,0,0
dbo,InventoryLabel,IsCancelled,tinyint,1,3,0,0,0
dbo,InventoryLabel,OrderQuantityPacks,int,4,10,0,1,0
dbo,InventoryLabel,LineShortName,nvarchar,100,0,0,1,1
